timestamp,import_teu,export_teu,container_arrivals,container_departures,containers_in_yard,yard_capacity,average_dwell_time_hours,truck_arrivals,truck_departures,truck_waiting_time_minutes,gate_throughput,yard_occupancy_percent,cargo_flow_ratio,operations_status
2025-01-01 00:00:00+00:00,538.83,154.47,130.26,81.62,6048.64,10000,65.63,51,71,15.12,71,60.49,1.6,NORMAL
2025-01-01 01:00:00+00:00,484.53,135.47,118.79,64.58,6102.85,10000,65.89,47,45,13.27,47,61.03,1.84,NORMAL
2025-01-01 02:00:00+00:00,536.72,149.27,120.15,59.43,6163.57,10000,66.33,41,38,10.87,41,61.64,2.02,NORMAL
2025-01-01 03:00:00+00:00,594.47,160.44,134.54,72.89,6225.21,10000,67.19,62,61,12.08,62,62.25,1.85,NORMAL
2025-01-01 04:00:00+00:00,492.67,126.33,107.32,75.2,6257.34,10000,67.38,65,65,13.84,65,62.57,1.43,NORMAL
2025-01-01 05:00:00+00:00,441.11,108.39,104.15,84.35,6277.14,10000,67.62,91,89,13.74,91,62.77,1.23,NORMAL
2025-01-01 06:00:00+00:00,497.09,117.99,115.92,88.53,6304.54,10000,67.52,99,97,15.17,99,63.05,1.31,NORMAL
2025-01-01 07:00:00+00:00,510.53,119.3,120.2,108.91,6315.83,10000,68.04,124,122,14.52,124,63.16,1.1,NORMAL
2025-01-01 08:00:00+00:00,552.02,127.11,127.93,123.35,6320.4,10000,68.04,146,145,11.35,146,63.2,1.04,NORMAL
2025-01-01 09:00:00+00:00,544.85,120.69,126.89,147.18,6300.12,10000,67.25,188,188,13.06,188,63.0,0.86,NORMAL
2025-01-01 10:00:00+00:00,644.47,146.05,137.66,149.16,6288.63,10000,66.56,202,201,15.9,202,62.89,0.92,NORMAL
2025-01-01 11:00:00+00:00,712.46,165.94,148.75,149.6,6287.78,10000,66.28,200,198,11.76,200,62.88,0.99,NORMAL
2025-01-01 12:00:00+00:00,722.12,171.54,157.66,166.7,6278.74,10000,66.73,219,216,9.3,219,62.79,0.95,NORMAL
