month,official_import_teu,synthetic_import_teu,import_difference_percent,official_export_teu,synthetic_export_teu,export_difference_percent
1,483831.25,483831.33,1.6534690559218354e-05,113270.75,113270.57999999999,-0.00015008287665863049
2,413236.25,413236.23,-4.839846460378646e-06,109156.25,109156.22,-2.7483538504516092e-05
3,385530.5,385530.52,5.187657012513005e-06,122974.75,122974.81,4.8790503739728436e-05
4,439230.0,439229.93,-1.593698062677525e-05,128394.0,128393.9,-7.78852594403327e-05
5,355950.25,355950.16,-2.5284432311990616e-05,120196.0,120196.04000000001,3.32789776765858e-05
6,470449.75,470449.81,1.275375318993616e-05,126144.25,126144.18000000001,-5.5492025988051775e-05
7,543727.8,543727.81,1.8391555497646479e-06,121507.0,121506.98999999999,-8.229978527420829e-06
8,504514.25,504514.2,-9.910522842190973e-06,127378.75,127378.98999999999,0.00018841447257936413
9,460043.75,460043.68999999994,-1.3042237842787638e-05,114693.0,114692.99,-8.718927916055305e-06
10,429279.75,429279.73,-4.658966564024148e-06,123764.25,123764.18000000001,-5.6559143688450425e-05
11,406421.0,406420.98000000004,-4.921005548536811e-06,113706.25,113706.31,5.2767547955958173e-05
12,424498.75,424498.72,-7.067158626012368e-06,108074.75,108074.68,-6.476998559514126e-05
