hour_key,vessel_count,waiting_vessel_count,approaching_vessel_count,departing_vessel_count,average_speed,port_throughput,import_teu,export_teu,container_arrivals,container_departures,containers_in_yard,yard_capacity,average_dwell_time_hours,truck_arrivals,truck_departures,truck_waiting_time_minutes,gate_throughput,yard_occupancy_percent,cargo_flow_ratio,operations_status,wind_speed_10m,wave_height,weather_code,hour,hour_sin,hour_cos,day_of_week,month,is_weekend,is_public_holiday,weather_pressure_index,event_active,event_id,event_type,event_severity,event_start,event_end,event_duration_hours,event_represented_hours,pola_berthed_cargo_vessels,pola_berthed_tanker_vessels
2025-01-01 00:00:00+00:00,54,15,5,6,1.3992261392949268,0,538.83,154.47,130.26,81.62,6048.64,10000,65.63,51,71,15.12,71,60.49,1.6,NORMAL,3.0,1.18,3.0,0,0.0,1.0,4,1,False,True,0.2857142857142855,False,,,,,,,,10,1
2025-01-01 01:00:00+00:00,53,15,5,8,2.812368815592204,0,484.53,135.47,118.79,64.58,6102.85,10000,65.89,47,45,13.27,47,61.03,1.84,NORMAL,2.8,1.2,3.0,1,0.2588190451025207,0.9659258262890684,4,1,False,True,0.3214285714285713,False,,,,,,,,9,1
2025-01-01 02:00:00+00:00,53,15,7,10,3.309827456864216,0,536.72,149.27,120.15,59.43,6163.57,10000,66.33,41,38,10.87,41,61.64,2.02,NORMAL,6.2,1.18,3.0,2,0.4999999999999999,0.8660254037844387,4,1,False,True,0.2857142857142855,False,,,,,,,,9,1
2025-01-01 03:00:00+00:00,50,16,5,8,2.877681874229346,0,594.47,160.44,134.54,72.89,6225.21,10000,67.19,62,61,12.08,62,62.25,1.85,NORMAL,5.3,1.16,2.0,3,0.7071067811865475,0.7071067811865476,4,1,False,True,0.2499999999999998,False,,,,,,,,7,1
2025-01-01 04:00:00+00:00,47,16,2,4,1.9063207547169807,0,492.67,126.33,107.32,75.2,6257.34,10000,67.38,65,65,13.84,65,62.57,1.43,NORMAL,1.5,1.14,0.0,4,0.8660254037844386,0.5000000000000001,4,1,False,True,0.214285714285714,False,,,,,,,,7,1
2025-01-01 05:00:00+00:00,44,15,1,3,0.9114669421487602,0,441.11,108.39,104.15,84.35,6277.14,10000,67.62,91,89,13.74,91,62.77,1.23,NORMAL,1.9,1.1,0.0,5,0.9659258262890684,0.2588190451025207,4,1,False,True,0.1428571428571429,False,,,,,,,,7,1
2025-01-01 06:00:00+00:00,44,16,1,2,0.2842278203723987,1,497.09,117.99,115.92,88.53,6304.54,10000,67.52,99,97,15.17,99,63.05,1.31,NORMAL,2.1,1.06,0.0,6,1.0,6.123233995736766e-17,4,1,False,True,0.0714285714285714,False,,,,,,,,7,1
2025-01-01 07:00:00+00:00,43,15,2,4,1.0916488222698073,0,510.53,119.3,120.2,108.91,6315.83,10000,68.04,124,122,14.52,124,63.16,1.1,NORMAL,2.5,1.02,0.0,7,0.9659258262890684,-0.2588190451025206,4,1,False,True,0.0,False,,,,,,,,7,0
2025-01-01 08:00:00+00:00,43,14,1,4,1.713768115942029,0,552.02,127.11,127.93,123.35,6320.4,10000,68.04,146,145,11.35,146,63.2,1.04,NORMAL,3.1,1.0,0.0,8,0.8660254037844387,-0.4999999999999998,4,1,False,True,0.0,False,,,,,,,,7,0
2025-01-01 09:00:00+00:00,42,14,0,3,0.7011248593925758,1,544.85,120.69,126.89,147.18,6300.12,10000,67.25,188,188,13.06,188,63.0,0.86,NORMAL,2.8,0.98,3.0,9,0.7071067811865476,-0.7071067811865475,4,1,False,True,0.0,False,,,,,,,,7,1
